title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_lbs,reps,distance_km,duration_seconds,rpe
Tuesday Leg & Bi,"29 Jun 2026, 17:05","29 Jun 2026, 18:25",,Squat (Barbell),,,0,warmup,45.0,10,,,
Tuesday Leg & Bi,"29 Jun 2026, 17:05","29 Jun 2026, 18:25",,Squat (Barbell),,,1,warmup,135.0,8,,,
Tuesday Leg & Bi,"29 Jun 2026, 17:05","29 Jun 2026, 18:25",,Squat (Barbell),,,2,warmup,225.0,3,,,
Tuesday Leg & Bi,"29 Jun 2026, 17:05","29 Jun 2026, 18:25",,Squat (Barbell),,,3,normal,315.0,1,,,
Tuesday Leg & Bi,"29 Jun 2026, 17:05","29 Jun 2026, 18:25",,Squat (Barbell),,,4,normal,375.0,1,,,
Tuesday Leg & Bi,"29 Jun 2026, 17:05","29 Jun 2026, 18:25",,Leg Press (Machine),,,0,normal,388.0,3,,,
Tuesday Leg & Bi,"29 Jun 2026, 17:05","29 Jun 2026, 18:25",,Leg Press (Machine),,,1,normal,478.0,1,,,
Tuesday Leg & Bi,"29 Jun 2026, 17:05","29 Jun 2026, 18:25",,Leg Press (Machine),,,2,normal,568.0,1,,,
Tuesday Leg & Bi,"29 Jun 2026, 17:05","29 Jun 2026, 18:25",,Leg Press (Machine),,,3,normal,658.0,1,,,
Tuesday Leg & Bi,"29 Jun 2026, 17:05","29 Jun 2026, 18:25",,Leg Press (Machine),,,4,normal,748.0,1,,,
Tuesday Leg & Bi,"29 Jun 2026, 17:05","29 Jun 2026, 18:25",,Leg Press (Machine),,,5,normal,838.0,2,,,
Tuesday Leg & Bi,"29 Jun 2026, 17:05","29 Jun 2026, 18:25",,Lying Leg Curl (Machine),,,0,normal,170.0,8,,,
Tuesday Leg & Bi,"29 Jun 2026, 17:05","29 Jun 2026, 18:25",,Lying Leg Curl (Machine),,,1,normal,170.0,5,,,
Tuesday Leg & Bi,"29 Jun 2026, 17:05","29 Jun 2026, 18:25",,Chin Up (Weighted),,,0,normal,45.0,5,,,
Tuesday Leg & Bi,"29 Jun 2026, 17:05","29 Jun 2026, 18:25",,Chin Up (Weighted),,,1,normal,45.0,3,,,
Tuesday Leg & Bi,"29 Jun 2026, 17:05","29 Jun 2026, 18:25",,Chin Up,,,0,normal,,5,,,
Monday Chest & Tri,"27 Jun 2026, 14:38","27 Jun 2026, 15:20",,Pull Up,,,0,warmup,,8,,,
Monday Chest & Tri,"27 Jun 2026, 14:38","27 Jun 2026, 15:20",,Pull Up,,,1,normal,,5,,,
Monday Chest & Tri,"27 Jun 2026, 14:38","27 Jun 2026, 15:20",,Pull Up,,,2,normal,,6,,,
Monday Chest & Tri,"27 Jun 2026, 14:38","27 Jun 2026, 15:20",,Pull Up,,,3,normal,,2,,,
Monday Chest & Tri,"27 Jun 2026, 14:38","27 Jun 2026, 15:20",,Pull Up,,,4,normal,,5,,,
Monday Chest & Tri,"27 Jun 2026, 14:38","27 Jun 2026, 15:20",,Pull Up,,,5,normal,,3,,,
Monday Chest & Tri,"27 Jun 2026, 14:38","27 Jun 2026, 15:20",,Pull Up,,,6,normal,,5,,,
Monday Chest & Tri,"27 Jun 2026, 14:38","27 Jun 2026, 15:20",,Pull Up,,,7,normal,,8,,,
Monday Chest & Tri,"27 Jun 2026, 14:38","27 Jun 2026, 15:20",,Bench Press (Barbell),,,0,warmup,45.0,15,,,
Monday Chest & Tri,"27 Jun 2026, 14:38","27 Jun 2026, 15:20",,Bench Press (Barbell),,,1,warmup,135.0,10,,,
Monday Chest & Tri,"27 Jun 2026, 14:38","27 Jun 2026, 15:20",,Bench Press (Barbell),,,2,warmup,225.0,8,,,
Monday Chest & Tri,"27 Jun 2026, 14:38","27 Jun 2026, 15:20",,Bench Press (Barbell),,,3,normal,255.0,5,,,
Monday Chest & Tri,"27 Jun 2026, 14:38","27 Jun 2026, 15:20",,Bench Press (Barbell),,,4,normal,255.0,5,,,
Monday Chest & Tri,"27 Jun 2026, 14:38","27 Jun 2026, 15:20",,Bench Press (Barbell),,,5,normal,275.0,2,,,
Monday Chest & Tri,"27 Jun 2026, 14:38","27 Jun 2026, 15:20",,Chin Up,,,0,normal,,3,,,
Monday Chest & Tri,"27 Jun 2026, 14:38","27 Jun 2026, 15:20",,Chin Up,,,1,normal,,3,,,
Monday Chest & Tri,"27 Jun 2026, 14:38","27 Jun 2026, 15:20",,Chin Up,,,2,normal,,3,,,
Monday Chest & Tri,"27 Jun 2026, 14:38","27 Jun 2026, 15:20",,Incline Chest Press (Machine),,,0,normal,90.0,8,,,
Monday Chest & Tri,"27 Jun 2026, 14:38","27 Jun 2026, 15:20",,Incline Chest Press (Machine),,,1,normal,191.0,8,,,
