"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_km","duration_seconds","rpe"
"Wednesday Back & Shoulder","10 Jun 2026, 16:52","10 Jun 2026, 17:41","","Pull Up",,"",0,"normal",,10,,,
"Wednesday Back & Shoulder","10 Jun 2026, 16:52","10 Jun 2026, 17:41","","Pull Up",,"",1,"normal",,9,,,
"Wednesday Back & Shoulder","10 Jun 2026, 16:52","10 Jun 2026, 17:41","","Pull Up",,"",2,"normal",,10,,,
"Wednesday Back & Shoulder","10 Jun 2026, 16:52","10 Jun 2026, 17:41","","Chin Up",,"",0,"normal",,2,,,
"Wednesday Back & Shoulder","10 Jun 2026, 16:52","10 Jun 2026, 17:41","","Lat Pulldown (Cable)",,"",0,"normal",160,8,,,
"Wednesday Back & Shoulder","10 Jun 2026, 16:52","10 Jun 2026, 17:41","","Lat Pulldown (Cable)",,"",1,"normal",160,6,,,
"Wednesday Back & Shoulder","10 Jun 2026, 16:52","10 Jun 2026, 17:41","","Lat Pulldown (Cable)",,"",2,"normal",120,11,,,
"Wednesday Back & Shoulder","10 Jun 2026, 16:52","10 Jun 2026, 17:41","","Overhead Press (Barbell)",,"",0,"normal",45,10,,,
"Wednesday Back & Shoulder","10 Jun 2026, 16:52","10 Jun 2026, 17:41","","Overhead Press (Barbell)",,"",1,"normal",135,5,,,
"Wednesday Back & Shoulder","10 Jun 2026, 16:52","10 Jun 2026, 17:41","","Overhead Press (Barbell)",,"",2,"normal",155,6,,,
"Wednesday Back & Shoulder","10 Jun 2026, 16:52","10 Jun 2026, 17:41","","Overhead Press (Barbell)",,"",3,"normal",135,4,,,
"Wednesday Back & Shoulder","10 Jun 2026, 16:52","10 Jun 2026, 17:41","","Shoulder Press (Dumbbell)",,"",0,"normal",140,8,,,
"Wednesday Back & Shoulder","10 Jun 2026, 16:52","10 Jun 2026, 17:41","","Hang Clean",,"",0,"normal",155,3,,,
"Monday Chest & Tri","9 Jun 2026, 14:11","9 Jun 2026, 15:23","","Pull Up",,"",0,"warmup",,6,,,
"Monday Chest & Tri","9 Jun 2026, 14:11","9 Jun 2026, 15:23","","Pull Up",,"",1,"normal",,3,,,
"Monday Chest & Tri","9 Jun 2026, 14:11","9 Jun 2026, 15:23","","Bench Press (Barbell)",,"",0,"warmup",45,18,,,
"Monday Chest & Tri","9 Jun 2026, 14:11","9 Jun 2026, 15:23","","Bench Press (Barbell)",,"",1,"warmup",135,8,,,
"Monday Chest & Tri","9 Jun 2026, 14:11","9 Jun 2026, 15:23","","Bench Press (Barbell)",,"",2,"warmup",225,3,,,
"Monday Chest & Tri","9 Jun 2026, 14:11","9 Jun 2026, 15:23","","Bench Press (Barbell)",,"",3,"normal",275,1,,,
"Monday Chest & Tri","9 Jun 2026, 14:11","9 Jun 2026, 15:23","","Bench Press (Barbell)",,"",4,"normal",315,1,,,
"Monday Chest & Tri","9 Jun 2026, 14:11","9 Jun 2026, 15:23","","Bench Press (Barbell)",,"",5,"normal",225,12,,,
"Monday Chest & Tri","9 Jun 2026, 14:11","9 Jun 2026, 15:23","","Incline Chest Press (Machine)",,"",0,"warmup",90,8,,,
"Monday Chest & Tri","9 Jun 2026, 14:11","9 Jun 2026, 15:23","","Incline Chest Press (Machine)",,"",1,"warmup",180,8,,,
"Monday Chest & Tri","9 Jun 2026, 14:11","9 Jun 2026, 15:23","","Incline Chest Press (Machine)",,"",2,"warmup",180,6,,,
"Monday Chest & Tri","9 Jun 2026, 14:11","9 Jun 2026, 15:23","","Incline Chest Press (Machine)",,"",3,"normal",180,5,,,
"Monday Chest & Tri","9 Jun 2026, 14:11","9 Jun 2026, 15:23","","Triceps Pushdown",,"",0,"failure",100,6,,,
"Monday Chest & Tri","9 Jun 2026, 14:11","9 Jun 2026, 15:23","","Triceps Pushdown",,"",1,"failure",70,10,,,
"Monday Chest & Tri","9 Jun 2026, 14:11","9 Jun 2026, 15:23","","Triceps Pushdown",,"",2,"normal",20,10,,,
"Monday Chest & Tri","9 Jun 2026, 14:11","9 Jun 2026, 15:23","","Triceps Pushdown",,"",3,"normal",20,10,,,
"Tuesday Leg & Bi","8 Jun 2026, 15:50","8 Jun 2026, 17:01","","Squat (Barbell)",,"",0,"warmup",45,10,,,
"Tuesday Leg & Bi","8 Jun 2026, 15:50","8 Jun 2026, 17:01","","Squat (Barbell)",,"",1,"warmup",135,8,,,
"Tuesday Leg & Bi","8 Jun 2026, 15:50","8 Jun 2026, 17:01","","Squat (Barbell)",,"",2,"warmup",225,4,,,
"Tuesday Leg & Bi","8 Jun 2026, 15:50","8 Jun 2026, 17:01","","Squat (Barbell)",,"",3,"normal",315,1,,,
"Tuesday Leg & Bi","8 Jun 2026, 15:50","8 Jun 2026, 17:01","","Squat (Barbell)",,"",4,"normal",365,1,,,
"Tuesday Leg & Bi","8 Jun 2026, 15:50","8 Jun 2026, 17:01","","Squat (Barbell)",,"",5,"normal",405,1,,,
"Tuesday Leg & Bi","8 Jun 2026, 15:50","8 Jun 2026, 17:01","","Squat (Barbell)",,"",6,"normal",315,5,,,
"Tuesday Leg & Bi","8 Jun 2026, 15:50","8 Jun 2026, 17:01","","Leg Extension (Machine)",,"",0,"normal",235,12,,,
